,ModelType,agents,decay_limit,discount_rate,epsilon,epsilon_decay,hidden_size,learning_rate,lookback,n1,n2,num_layers,tn_mean_score,tn_mean_time,tn_rank,tr_cooperation_percentage,tr_cumul_regret,tr_cumul_reward,tr_defection_percentage,tr_final_loss,tr_mean_reward
95,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.99,0.2,0.0,,0.001,2.0,16,,,725.9693548387097,12.073242000000004,22.0,0.89992,62787.0,537213.0,0.10008,2.2605918989792464,2.686065
96,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.95,0.2,0.002,,0.01,2.0,16,,,673.6,11.386764,25.0,0.63683,52105.0,547895.0,0.36317,0.5135648923838089,2.739475
97,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.99,0.2,0.002,,0.01,2.0,16,,,656.0145161290322,11.223545999999995,25.0,0.960345,22955.0,577045.0,0.039655,2.415628814935796,2.885225
98,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.95,0.2,0.002,,0.001,2.0,16,,,661.1967741935484,12.612939,25.0,0.672355,66481.0,533519.0,0.327645,0.4789203911113343,2.667595
99,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.99,0.2,0.002,,0.001,2.0,16,,,626.8774193548387,14.835729,25.0,0.60549,157161.0,442839.0,0.39451,1.7347544610675238,2.214195
100,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.95,0.05,0.0,,0.01,2.0,32,,,468.60967741935485,13.540423999999996,27.0,0.676965,49595.0,550405.0,0.323035,0.3949199150979123,2.752025
101,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.99,0.05,0.0,,0.01,2.0,32,,,706.7129032258065,11.566738,23.0,0.97487,13092.0,586908.0,0.02513,2.453170899858475,2.93454
102,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.95,0.05,0.0,,0.001,2.0,32,,,745.8741935483871,12.822265999999996,15.0,0.7435,57855.0,542145.0,0.2565,0.3478413727973452,2.710725
103,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.99,0.05,0.0,,0.001,2.0,32,,,671.3822580645161,11.697689,25.0,0.502675,86144.0,513856.0,0.497325,0.7432732991719612,2.56928
104,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.95,0.05,0.002,,0.01,2.0,32,,,754.7177419354839,12.335935,15.0,0.65826,44125.0,555875.0,0.34174,0.4316573807881189,2.779375
105,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.99,0.05,0.002,,0.01,2.0,32,,,758.85,12.821913,16.0,0.973745,13117.0,586883.0,0.026255,2.4543049262989296,2.934415
106,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.95,0.05,0.002,,0.001,2.0,32,,,702.4129032258064,12.111059,25.0,0.975235,12430.0,587570.0,0.024765,1.3857217497222774,2.93785
107,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.99,0.05,0.002,,0.001,2.0,32,,,721.1870967741935,12.463248000000004,21.0,0.30313,133226.0,466774.0,0.69687,0.9148972263296214,2.33387
108,DQN,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik",,0.95,0.1,0.0,,0.01,2.0,32,,,712.2016129032259,12.503496000000002,25.0,0.950385,30609.0,569391.0,0.049615,2.387021845458403,2.846955
