Unnamed: 0,model,lookback,epsilon,epsilon_decay,decay_limit,learning_rate,discount_rate,epochs,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
10,,1,0.2,0.0,0.05,0.1,0.95,2500,0.2276692,0.7723308,,1.6602956,4150739.0,3349261.0,29,449.96096774193546,16.503438,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
11,,1,0.2,0.0,0.05,0.1,0.99,2500,0.2529008,0.7470992,,1.6676576,4169144.0,3330856.0,28,451.7206451612904,18.440833999999995,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
12,,2,0.05,0.0,0.05,0.05,0.95,2500,0.3105924,0.6894076,,1.813676,4534190.0,2965810.0,16,755.3545161290323,3.12973,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
13,,2,0.05,0.0,0.05,0.05,0.99,2500,0.5281132,0.4718868,,2.0009832,5002458.0,2497542.0,24,710.943870967742,2.803065,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
14,,2,0.05,0.0,0.05,0.1,0.95,2500,0.266796,0.733204,,1.7596356,4399089.0,3100911.0,25,512.9348387096774,11.871768,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
15,,2,0.05,0.0,0.05,0.1,0.99,2500,0.44074,0.55926,,1.912292,4780730.0,2719270.0,25,535.68,10.756321000000002,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
16,,2,0.1,0.0,0.05,0.05,0.95,2500,0.2301008,0.7698992,,1.6860028,4215007.0,3284993.0,29,453.47967741935486,15.925781000000006,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
17,,2,0.1,0.0,0.05,0.05,0.99,2500,0.3106132,0.6893868,,1.7383324,4345831.0,3154169.0,31,433.1870967741936,16.269654999999997,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
18,,2,0.1,0.0,0.05,0.1,0.95,2500,0.2123536,0.7876464,,1.6637696,4159424.0,3340576.0,27,480.90967741935486,8.5058,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
19,,2,0.1,0.0,0.05,0.1,0.99,2500,0.289312,0.710688,,1.70703,4267575.0,3232425.0,26,471.8693548387097,9.999425999999996,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
20,,2,0.2,0.0,0.05,0.05,0.95,2500,0.1840052,0.8159948,,1.63743,4093575.0,3406425.0,29,446.2735483870968,17.660117,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
21,,2,0.2,0.0,0.05,0.05,0.99,2500,0.21563,0.78437,,1.643884,4109710.0,3390290.0,26,485.99387096774194,11.732230000000005,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
22,,2,0.2,0.0,0.05,0.1,0.95,2500,0.2171056,0.7828944,,1.6469264,4117316.0,3382684.0,25,529.9490322580646,15.146575999999998,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
23,,2,0.2,0.0,0.05,0.1,0.99,2500,0.2459976,0.7540024,,1.6494896,4123724.0,3376276.0,30,438.8551612903226,13.954824000000002,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
24,,4,0.05,0.0,0.05,0.05,0.95,2500,0.4345924,0.5654076,,1.9287264,4821816.0,2678184.0,25,531.8038709677419,16.377895,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
25,,4,0.05,0.0,0.05,0.05,0.99,2500,0.6310264,0.3689736,,2.0874056,5218514.0,2281486.0,21,749.2603225806452,2.9066909999999986,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
26,,4,0.05,0.0,0.05,0.1,0.95,2500,0.3427388,0.6572612,,1.922914,4807285.0,2692715.0,25,530.4906451612903,13.126344000000003,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
