,model,lookback,epsilon,epsilon_decay,decay_limit,learning_rate,discount_rate,epochs,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
39,,2,0.1,0.0,0.05,0.1,0.99,2500,0.30165225,0.69834775,,2.09401775,8376071.0,3623929.0,26,493.0758064516129,13.897745,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
40,,2,0.2,0.0,0.05,0.001,0.95,2500,0.2064595,0.7935405,,2.07739225,8309569.0,3690431.0,31,435.8325806451613,16.471877999999997,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
41,,2,0.2,0.0,0.05,0.001,0.99,2500,0.57512375,0.42487625,,2.239792,8959168.0,3040832.0,20,750.5622580645161,2.7852870000000003,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
42,,2,0.2,0.0,0.05,0.01,0.95,2500,0.1439125,0.8560875,,2.08547525,8341901.0,3658099.0,25,512.8938709677419,12.631713000000003,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
43,,2,0.2,0.0,0.05,0.01,0.99,2500,0.196957,0.803043,,2.07506325,8300253.0,3699747.0,30,448.4012903225806,15.337183000000001,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
44,,2,0.2,0.0,0.05,0.05,0.95,2500,0.2112745,0.7887255,,2.06800375,8272015.0,3727985.0,31,368.4048387096774,13.364227000000001,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
45,,2,0.2,0.0,0.05,0.05,0.99,2500,0.2458385,0.7541615,,2.05843025,8233721.0,3766279.0,28,472.94774193548386,10.429474,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
46,,2,0.2,0.0,0.05,0.1,0.95,2500,0.2422055,0.7577945,,2.0665485,8266194.0,3733806.0,26,480.5732258064516,14.079755,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
47,,2,0.2,0.0,0.05,0.1,0.99,2500,0.28087325,0.71912675,,2.05057825,8202313.0,3797687.0,30,433.4125806451613,16.504908000000004,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
48,,4,0.05,0.0,0.05,0.001,0.95,2500,0.944803,0.055197,,2.8334675,11333870.0,666130.0,19,751.4667741935484,2.964937,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
