,ModelType,agents,discount_rate,epsilon,epsilon_decay,hidden_size,learning_rate,lookback,n1,n2,num_layers,tn_mean_score,tn_mean_time,tn_rank,tr_cooperation_percentage,tr_cumul_regret,tr_cumul_reward,tr_defection_percentage,tr_final_loss,tr_mean_reward
65,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.95,0.1,0.0,,0.01,4,4,,,466.15,34.0497,28,0.050425,381220,458780,0.949575,1.141011144,1.6385
66,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.1,0.0,,0.01,4,4,,,564.8629032,33.671969,25,0.557996429,254316,585684,0.442003571,1.61218803,2.091728571
67,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.95,0.2,0.0,,0.01,4,4,,,711.416129,17.56991,23,0.899685714,178520,661480,0.100314286,1.984078571,2.362428571
68,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.2,0.0,,0.01,4,4,,,436.2241935,35.348423,29,0.395007143,300260,539740,0.604992857,0.694231013,1.927642857
69,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.95,0.05,0.0,,0.01,4,64,,,770.1822581,33.282142,9,0.975007143,122292,717708,0.024992857,2.141736068,2.563242857
70,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.05,0.0,,0.01,4,64,,,723.4935484,29.461159,22,0.975139286,122009,717991,0.024860714,2.142481924,2.564253571
71,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.95,0.1,0.0,,0.01,4,64,,,705.6048387,30.359793,24,0.950382143,133506,706494,0.049617857,2.113002917,2.523192857
72,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.1,0.0,,0.01,4,64,,,679.8225806,30.717528,25,0.950182143,134902,705098,0.049817857,2.108806822,2.518207143
73,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.95,0.2,0.0,,0.01,4,64,,,723.2209677,29.478852,21,0.899292857,177137,662863,0.100707143,1.988241975,2.367367857
74,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.2,0.0,,0.01,4,64,,,702.3677419,29.358552,24,0.899767857,180027,659973,0.100232143,1.979400145,2.357046429
75,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.95,0.05,0.0,,0.01,4,128,,,700.1774194,29.812728,24,0.97505,121827,718173,0.02495,2.139904694,2.564903571
76,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.05,0.0,,0.01,4,128,,,680.6516129,29.057523,25,0.975021429,121221,718779,0.024978571,2.144837188,2.567067857
77,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.95,0.1,0.0,,0.01,4,128,,,705.1548387,36.319289,25,0.949535714,134798,705202,0.050464286,2.109172687,2.518578571
78,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.1,0.0,,0.01,4,128,,,702.2903226,33.424609,23,0.949510714,133777,706223,0.050489286,2.112078075,2.522225
79,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.95,0.2,0.0,,0.01,4,128,,,712.9870968,30.659979,21,0.899146429,181614,658386,0.100853571,1.974805732,2.351378571
80,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.2,0.0,,0.01,4,128,,,736.1725806,31.363123,21,0.899682143,185261,654739,0.100317857,1.963805949,2.338353571
81,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.95,0.05,0.0,,0.01,6,4,,,441.6483871,31.60264,29,0.190389286,361686,478314,0.809610714,0.317413342,1.708264286
