,id,tn_score,tn_time,p_c,p_d
102,Stoc72,672.8827692307692,0.5060739346153847,0.47119662449454347,0.16244389594469177
103,Stoc73,669.3742307692307,0.35270679615384604,0.004625130991633863,0.7439124684604137
104,Stoc74,525.1477692307692,0.27812734230769215,0.9675948328725141,0.7172809263941603
105,Stoc75,556.7493846153847,0.39458880384615386,0.744292601820366,0.6097186906325701
106,Stoc76,579.2056153846154,0.31600024615384625,0.45564230309120357,0.7591537280736195
107,Stoc77,645.6258461538462,0.523129526923077,0.6024348289499827,0.16599218062901866
108,Stoc78,561.6962307692307,0.3690427576923076,0.8652094632377244,0.5854397870854463
109,Stoc79,597.6918461538462,0.4218319346153847,0.7489548003870573,0.3401572860301867
110,Stoc80,541.5404615384615,0.3297911384615382,0.7892692677463513,0.6627126739049362
111,Stoc81,621.6653076923077,0.32152083461538444,0.058907893767155994,0.8531370984831145
112,Stoc82,479.4257692307692,0.21128970384615378,0.9868520221711171,0.937445662252194
113,Stoc83,648.2187692307692,0.5000546653846152,0.670423171112298,0.1358193414486012
114,Stoc84,484.4056153846154,0.2376584923076922,0.6526322709889439,0.9913851620887331
115,Stoc85,518.0775384615384,0.26284760384615385,0.6415563551190092,0.8760241321733114
116,Stoc86,587.8352307692307,0.431749723076923,0.8921933333180725,0.3699215691216323
117,Stoc87,511.2245384615385,0.3268336615384615,0.7540072448890135,0.8039459723362942
118,Stoc88,604.2079230769231,0.40077848461538457,0.511763914729647,0.5320944341898801
119,Stoc89,578.5902307692307,0.33016596153846145,0.6004208982383687,0.6366002006701224
120,Stoc90,603.6756923076923,0.31307126153846165,0.24061991608770317,0.8178330440248942
121,Stoc91,600.3194615384615,0.3692663307692309,0.8957764867754532,0.3071372150313547
122,Stoc92,577.1675384615385,0.36721881923076954,0.9981879689308254,0.4812834377526234
123,Stoc93,775.104,0.5218684961538461,0.0019503095355706268,0.027560872509263867
124,Stoc94,588.0038461538461,0.3800413653846155,0.8341136720741069,0.35839133554793323
125,Stoc95,596.5033076923077,0.2735718230769232,0.08785674422997647,0.9211982454000347
