,ModelType,agents,decay_limit,discount_rate,epsilon,epsilon_decay,learning_rate,lookback,tn_mean_score,tn_mean_time,tn_rank,tr_cooperation_percentage,tr_cumul_regret,tr_cumul_reward,tr_defection_percentage,tr_final_loss,tr_mean_reward
84,TABULAR,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.95,0.1,0.0,0.01,1.0,716.9209677419354,1.0677150000000002,22.0,0.8632333333333333,187627.0,532373.0,0.1367666666666666,,2.218220833333333
85,TABULAR,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.9,0.1,0.0,0.01,1.0,707.1403225806451,1.018509,23.0,0.7744791666666667,212668.0,507332.0,0.2255208333333333,,2.1138833333333333
86,TABULAR,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.99,0.1,0.0,0.1,1.0,703.008064516129,1.1474609999999998,25.0,0.7852083333333333,190164.0,529836.0,0.2147916666666666,,2.20765
87,TABULAR,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.95,0.1,0.0,0.1,1.0,741.5258064516129,1.76434,23.0,0.7634666666666666,191873.0,528127.0,0.2365333333333333,,2.200529166666666
88,TABULAR,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.9,0.1,0.0,0.1,1.0,412.1822580645161,2.810559,31.0,0.6912958333333333,200230.0,519770.0,0.3087041666666666,,2.1657083333333333
89,TABULAR,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.99,0.2,0.0,0.01,1.0,756.075806451613,0.9166019999999996,17.0,0.6660416666666666,219046.0,500954.0,0.3339583333333333,,2.087308333333333
90,TABULAR,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.95,0.2,0.0,0.01,1.0,745.6387096774193,1.020764,22.0,0.8619541666666667,189456.0,530544.0,0.1380458333333333,,2.2106
91,TABULAR,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.9,0.2,0.0,0.01,1.0,735.5483870967741,1.068484,21.0,0.8161875,203481.0,516519.0,0.1838125,,2.1521625
92,TABULAR,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.99,0.2,0.0,0.1,1.0,456.8870967741936,3.380704,27.0,0.7877583333333333,192645.0,527355.0,0.2122416666666666,,2.1973125
93,TABULAR,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.95,0.2,0.0,0.1,1.0,447.6903225806452,4.099408999999999,30.0,0.7571041666666667,198804.0,521196.0,0.2428958333333333,,2.17165
94,TABULAR,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.9,0.2,0.0,0.1,1.0,449.02258064516127,5.471208999999998,27.0,0.6905041666666667,202578.0,517422.0,0.3094958333333333,,2.155925
95,TABULAR,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.99,0.3,0.0,0.01,1.0,716.9709677419355,1.084556,22.0,0.870975,186307.0,533693.0,0.129025,,2.223720833333333
96,TABULAR,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.95,0.3,0.0,0.01,1.0,716.3612903225807,1.1972250000000002,21.0,0.843425,190316.0,529684.0,0.156575,,2.207016666666666
97,TABULAR,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.9,0.3,0.0,0.01,1.0,722.7564516129032,0.982627,22.0,0.824225,197879.0,522121.0,0.175775,,2.175504166666667
98,TABULAR,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.99,0.3,0.0,0.1,1.0,694.5774193548388,1.057541,25.0,0.7854958333333333,190350.0,529650.0,0.2145041666666666,,2.206875
99,TABULAR,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.95,0.3,0.0,0.1,1.0,681.5354838709677,1.8387390000000003,25.0,0.7528666666666667,196510.0,523490.0,0.2471333333333333,,2.181208333333333
100,TABULAR,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.9,0.3,0.0,0.1,1.0,431.6854838709677,7.198340999999999,28.0,0.7038291666666666,196641.0,523359.0,0.2961708333333333,,2.1806625
101,TABULAR,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.99,0.1,0.0,0.01,2.0,714.1193548387097,1.3661420000000002,23.0,0.671025,219248.0,500752.0,0.328975,,2.0864666666666665
102,TABULAR,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.95,0.1,0.0,0.01,2.0,681.3838709677419,1.0141409999999995,25.0,0.7902625,187084.0,532916.0,0.2097375,,2.220483333333333
103,TABULAR,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.9,0.1,0.0,0.01,2.0,697.4741935483871,1.088043,25.0,0.4089208333333333,250021.0,469979.0,0.5910791666666667,,1.9582458333333328
104,TABULAR,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.99,0.1,0.0,0.1,2.0,697.3532258064516,1.2248339999999995,24.0,0.7300375,198672.0,521328.0,0.2699625,,2.1722
105,TABULAR,"Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",,0.95,0.1,0.0,0.1,2.0,721.3129032258065,0.97546,22.0,0.6481583333333333,209566.0,510434.0,0.3518416666666666,,2.1268083333333334
